sample_id,question_id,assignment,reference_answer,student_answer,teacher_grade_raw,teacher_grade,ai_grade_multi,ai_feedback_multi,ai_confidence_multi,baseline_grade,baseline_feedback
11,2,"Define the mathematical model of a neuron, use the appropriate technical terms!","Mathematical model of a neuron consists of a set of synapses or connecting links where each link is characterized by a weight, an adder function (linear combiner), which computes the weighted sum (local field) of the inputs plus some bias and an activation function (squashing function) for limiting the amplitude of a neuron’s output.","A neuron consists of input nodes x1 to xn and weights w1 to wn, a linear combiner v= SUM( $ xi * wi $) + b, where b is some bias. The result v is called local field and is used as input for an acivation function $ phi(v) $",2.0,100.0,,,,,
12,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ",k-nearest neighbor wants to determine encoder $\C which assigns N inputs to K clusters based on a rule to be defined.,0.0,0.0,,,,,
13,11,"When learning using steepest descent, explain the role of the learning rate? What is a danger?","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. ","The steepest descent method is an algorithm for finding the nearest local minimum of a function which presupposes that the gradient of the function can be computed. The method of steepest descent starts at a point P0 and as many times needed moves from Pi to P(i+1) by minimizing along the line extending from Pi in the direction of gradient f(Pi) the local downhill gradient. The danger of the algorithm is, that it can get stuck in a local minima.",2.0,100.0,,,,,
14,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"An SVM is a linear classifier that divides a binary pattern, by a line that maximizes the margin between its line and the respective support vectors.",2.0,100.0,,,,,
15,2,"Define the mathematical model of a neuron, use the appropriate technical terms!","Mathematical model of a neuron consists of a set of synapses or connecting links where each link is characterized by a weight, an adder function (linear combiner), which computes the weighted sum (local field) of the inputs plus some bias and an activation function (squashing function) for limiting the amplitude of a neuron’s output.",HERE: The neuronal model consists of the following: - Synaptic links characterized by their weights which connects the network to the environment it is embedded in. - An adder function which sums up the weighted inputs and outputs the induced local field of the neuron. - An activation function which takes the induced local field of the neuron as it's input and limits the output of the neuron.,2.0,100.0,,,,,
16,11,"When learning using steepest descent, explain the role of the learning rate? What is a danger?","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. ","The learning rate defines the speed of steepest descent search for min of a error funtion. In other words, it defines how strong the change in weights will be, throughout optimization procedure. Higher learning rate, faster learning, but then learning is characterized by oscilations in searhc for min. This is dangerous because if learning rate, becomes bigger that a certain value, it can make search with steepest descent unstable. IN this case steepest descent will start to diverge, istead of converging to min. In other case, when learing rate is small that lerning is slower but safer, and the learining path is not oscilatory.",2.0,100.0,,,,,
17,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",An artificial neural network is a highly parallel computation model with learning and memory capacities. Similar to the brain it learns from the environment by strengthening the synapses between neurons. Once a task is learned it can be quickly used by reactivating those learned synapses.,1.0,50.0,,,,,
18,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.",a hypothesis $h \in H$ shatters $A \subseteq X$ if and only if there exists a value of $\alpha$ for which the training error is zero,1.0,50.0,,,,,
19,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ",n<- learinig rate Repeat until the MSE is small enough: t=t+1 for each point in training set do: compute local vield of percepron: V = W*X apply linear activation function: $y = \theta(V) = V$ compute current error: e = (d-y) apply delta rule: W(t+1) = W(t) + n*e*X end,2.0,100.0,,,,,
20,17,Explain the Bias Variance Dilemma!,"Bias-variance dilemma is a principle supervised learning problem. The dilemma arises due to the variance of data and bias of model. When there is high bias, the model fits the training data perfectly but suffers from high variance, when the bias is low the variance reduces but the model doesn’t fit the data well. This dilemma makes the generalizability difficult to achieve.","Bias is the difference between the predicted and true value. Variance is the range of several predicted values of the same datapoint. It is desirable to have low bias and low variance to ensure the predicted value is consistently close to the true value. The Bias Variance dilemma is that to achieve low bias, the variance becomes high and vice versa. Hence, there is always a tradeoff between the two.",2.0,100.0,,,,,
21,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",An artificial neural network is a massive distributed processor. It consists of several information processing units which are able to acquire and store knowledge.,1.0,50.0,,,,,
22,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,Support Vector Machines goal is to maximize margin between closest data points of separating hyperplane. Separating hyperplane is given by: 0 = w(n)*x(n) + b. By maximizing margin probability of classification errors is reduced.,1.0,50.0,,,,,
23,17,Explain the Bias Variance Dilemma!,"Bias-variance dilemma is a principle supervised learning problem. The dilemma arises due to the variance of data and bias of model. When there is high bias, the model fits the training data perfectly but suffers from high variance, when the bias is low the variance reduces but the model doesn’t fit the data well. This dilemma makes the generalizability difficult to achieve.","Ideally bias and variance would be 0 after learning a machine. However, bias and variance counteract eachother: when bias decreases, variance rises and respectively in the other direction. This leads to the dilemma that either one of the values has to be present.",1.0,50.0,,,,,
24,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,basic idea of SVM is to construct a hyperplane as the decision surface in such a way that the margin of separation between negative examples and positive examples is maximized.,1.0,50.0,,,,,
25,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"Support vector machines are classifiers that are using support vectors, which are variables of the dataset. These variable are chosen during learning algorithm. Main advantage of SVMs is that it will not be overfitting by choosing correct margin. Activation functions can be both linear and nonlinear. Output of SVM is always TRUE or FALSE for given variable.",1.0,50.0,,,,,
26,4,Explain classification and regression; what is the difference?,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. ,"Classification: Each datapoint is assigned with a class Regression: Each datapoint is assigned with a value In classification we assign classes or labels to datapoints. The error signal here can be only true or false. In regression we try to learn a function, the error for each prediction can be a number.",2.0,100.0,,,,,
27,9,Write down and explain the Widrow-Hoff learning rule!,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.,The Widrow-Hoff rule is used in error-correction learning and uses the current error and output of the system to determine the new weights. $w(n+1) = w(n)+\eta \cdot e(n) \cdot y(n) $,1.0,50.0,,,,,
28,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.","... when our learned machine achieves zero training error on every classification problem of the dataset A. Since we got a selection of $n$ points in the dataset A, the number of problems in binary classification is 2 to the power of $n$ (I didnt find the 'Dach' symbol on the english keyboard :) )",2.0,100.0,,,,,
29,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ",for a given input compute distances to other input points pick k nearest neighboors look at labeling of neighboors decide labeling (classification) by highest number of neighboors in one class (german: Mehrheitsentscheid),2.0,100.0,,,,,
30,13,"Define: Echo State Network (ESN), how are they different to FF NNs?",Echo State Network is a type of Recurrent Neural Network and has at least one cyclic (feedback) connection. Only the weights of the output layers are updated while learning. ESN consists of feedback connections while a FF NN does not. ESN can approximate dynamic systems while FF NN cannot.  ,"A Echo State Network is a RNN, is has a dynamical reservoir of neurons which are connected with each other and itself. the DR typically consists of more that 100 neurons. The outputlayer consists of linear readouts of the DR. So a neuron in the output layer sums up the weighted behaviours of the DR neurons. The DR is randomly initialised and only the output layer is trained by supevised learning. The main Diffrence is that ESN is a RNN. In contrast to FFNN it can resemble any dynamical system. Usually it is used for time series prediction.",2.0,100.0,,,,,
31,2,"Define the mathematical model of a neuron, use the appropriate technical terms!","Mathematical model of a neuron consists of a set of synapses or connecting links where each link is characterized by a weight, an adder function (linear combiner), which computes the weighted sum (local field) of the inputs plus some bias and an activation function (squashing function) for limiting the amplitude of a neuron’s output.",1) Neuron is consist of sysnaptic links which measured in terms of weights. neuron is given with inputs.\ 2)it has adder funtion or combiner which adds all the inputs mulitplied by the weights and bias is extra input to the neuron as well. 3) it has a activation link which limit the amplitude of the output of the neuron.,1.0,50.0,,,,,
32,10,"Explain back propagation, use the correct technical terms!",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.,"Backpropagation is the general form of the delta rule, formulated for networks with multiple hidden layers. Here, we propagate the error of the network back to the input layer to determine the change of weights, using the error signal in the output layer and subsequently the local gradients in the hidden layers. In the forward pass, we compute the net output forwards. In the backward pass, we propagate the error backwards. The BP rule was derived from the error gradient w.r.t. the weights, and application of the chain rule.",2.0,100.0,,,,,
33,14,Describe: the structure on an CNN.,"Convolutional Neural Network consists of many layers such as a convolutional layer that has kernels which convolve over the input image, an activation layer (ReLU activation), pooling layer (max or average pooling), and one or more fully connected layers followed by softmax layer.","A CNN consists of several stacked Convolutional layers which can be separated by other layers such as Pooling, Activation, Zero-padding and Dropout which is a form of Regularization. The output layer is generally dependent on the task but could be a Softmax Activation from a Fully connected (also called Densely connected) layer. The number of outputs is usually the number of classes.",2.0,100.0,,,,,
34,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ",Differences are: * RBFN has a single hidden layer. Nonlinear hidden layer. * Linear output layer. * Argument of hidden units: Euclidean norm. * Universal approximation property. Local approximators. * Splitted Learning.,1.0,50.0,,,,,
35,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"A SVM learns a decision boundary from the input data. Additionaly it learns two margins, which are parallel to the decision boundary and lie as close as possible at the data points, the support vectors. The decision boundary is chosen so that the margins are maximized. Using kernel functions higher dimensional data and non linearly separable data can be learned aswell.",2.0,100.0,,,,,
36,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ",1. Slect random number of neghbourhood initially 2. Find out the input which is nearest to the weight vector using competitive learning 3. Change only the input which wins 4. decrease the size of neighbourhood 5. Repeat,0.0,0.0,,,,,
37,17,Explain the Bias Variance Dilemma!,"Bias-variance dilemma is a principle supervised learning problem. The dilemma arises due to the variance of data and bias of model. When there is high bias, the model fits the training data perfectly but suffers from high variance, when the bias is low the variance reduces but the model doesn’t fit the data well. This dilemma makes the generalizability difficult to achieve.",Bias is used to affine transform of $u$. It helps to shift the classifier line. $$v=u+b$$,0.0,0.0,,,,,
38,10,"Explain back propagation, use the correct technical terms!",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.,the back propagation algorithm it consist of forward pass and backward pass computes the output of the neuron then it propagates in backward direction while recursively compute local gradient of the neuron weights are adjusted accordingle.,1.0,50.0,,,,,
39,7, What role does the method of steepest decent have when learning a network?,Steepest descent is used to update the weights in a NN during the learning phase. It helps to navigate the cost function and find the parameters for which the cost is minimum. The weights are updated in the direction of the steepest descent which is in a direction opposite to the gradient vector. This method could suffer from local minima and may become unstable.,Steepest decent helps to **minimize the value of error function $E$** by finding the **right direction **to move the weight vector to reach global minima. The direction is always **opposite to the direction of actual gradient vector**.,2.0,100.0,,,,,
40,9,Write down and explain the Widrow-Hoff learning rule!,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.,"The Widrow-Hoff learning rule is defined as: $w(n + 1) = w(n) + \eta * x(n) * e(n)$ The Widrow-Hoff learning rule is a rule for adjusting the weights of a NN for a error correction learning task. This learning rule is derived from the steepest descent method, where the direction for the minimization of the error is the defined as the oposite direction of the cost function's gradient. This gradient can be simplified as $x(n) * e(n)$, where e(n) is defined as the difference between the desired response and the actual response of the learning machine (NN): $e(n) = d(n) - y(n)$. $\eta$ defines the learning rate used.",2.0,100.0,,,,,
41,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ","For the input data x the distance to every other data point is calculated using a distance measure. Take the k data points, which have the minimum distance to x. These are the k-nearest neighbours. The most frequent class from the neighbours is assigned as the class of the input data.",2.0,100.0,,,,,
42,13,"Define: Echo State Network (ESN), how are they different to FF NNs?",Echo State Network is a type of Recurrent Neural Network and has at least one cyclic (feedback) connection. Only the weights of the output layers are updated while learning. ESN consists of feedback connections while a FF NN does not. ESN can approximate dynamic systems while FF NN cannot.  ,Echo state networks have dynamic reservoir with echo state property which is a randomely initialized RNN. Hence it can maintain its own internal state. Which is not possible in FF NN. RNN have feedback connections which ecoes back the state of reservoir as well as previoulsly applied inputs. Hence it can model dynamic systems which not possible with FFNN.,1.0,50.0,,,,,
43,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.","An artificial neural network consists of neurons, which are small computation devices,and synapses, the connections between the neurons. This resembles the brain because it also has neurons and synapses. Also a artificial neural network has weights, which are used to store learned features from the environment. Like the brain a neural network learns from the environment. An artificial neural network also has an activation function, which creates the output.",2.0,100.0,,,,,
44,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ",1. weights 2. centres (or means) of clusters 3. $\sigma$ which is the width of the clusters Difference: Uses functions which are radially invariant. Pros: - Easy to learn - Non-linearity - Only dependent on the radial distance Cons: - Data required is more - OVerfitting,2.0,100.0,,,,,
45,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ",1. non-linear transformation function from input space to feature space 2. centers of input data that is used for each hidden neuron 3. synaptic weights connecting hidden layer and output layer,1.0,50.0,,,,,
46,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.","Artificial neural network is a **massively parallel distributed processor** with synaptic links that can able to **store experimental knowledge** and make it available for use. It resembles human brain in two ways, * Knowledge is acquired by the neural network from its environment through learning process. * Interneuron connection called synaptic links stores the acquired knowledge.",2.0,100.0,,,,,
47,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"Given a training set for classification, The basic idea of SVM is to construct a hyperplane as decision boundary such a way that the margin between the positive and negative points is maximum Support vector is a small subset of the of the training data against which the boundary is pushed",2.0,100.0,,,,,
48,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ","$\varphi(v) = \tanh(v)$, single node network, $\mu$ learning rate repeat as long as error is too high: 1. present sample to network and collect output. 2. compare actual output with desired output (d). 3. If not equal adapt weights: $wi(n + 1) = wi(n) + \mu(d-y)xi$",2.0,100.0,,,,,
49,11,"When learning using steepest descent, explain the role of the learning rate? What is a danger?","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. ",1. Large learning rate $\eta$ results in a zigzagging behavior but it can converge quickly. 2. Small learning rate $\eta$ results in a smooth behavior but it is slow to converge,2.0,100.0,,,,,
50,11,"When learning using steepest descent, explain the role of the learning rate? What is a danger?","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. ","The learning rate gives the speed of learning. It defines the stepwidth in direction of steepest descent. If the learning rate is small, the learning is more stable but slower. When it is high, the learning is more unstable but faster. The danger is to overcome a minimum and result in oscillating behaviour",2.0,100.0,,,,,
51,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ","data varaince Features RBF uses suport vector machine which is classifier. it uses different kernels , it doesnot have feedback cycle. it also classifies non linear classification problem. it mainly works with 2 classes C1 ,C2. other NN is can also reggression and there can be feedback (RNN)",0.0,0.0,,,,,
52,5,Write down the SOM learning in pseudo code.,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space.","Initialize the weights randomly. Create a term T1 and T2, which decrease the learning\rate and neighbourhood function respectively. Calculate $i(x) = argmin | w - x |$, the weight which is closest to the input data received. i(x) is the neuron, which wins the competetive process, this neuron and its neighbours weights are updated using $w{new} = w{old} - learning\rate \cdot h(x) \cdot (w - x)$. h(x) is the neighbourhood function which determines, which neurons are updated and how strong they are changed by the update. It is defined using the distance between the neurons. The learning\rate is updated using $learning\rate / T1$, also is the neighbourhood function updated in the same way using T2. The learning\rate cannot get lower than 0.01, while the neighbourhood function can get as low as only the winning neuron. So in the beginning almost every neuron is updated and at the end only a small neighbourhood or the neuron itself is updated.",2.0,100.0,,,,,
53,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ","A RBF network learns, * The radial function * weight of the hidden to output neuron * Centroid of a cluster Difference: * A RBF is composed of input layer, 1 hidden layer and the output layer. Other NN can generally use as many hidden layers as required. * The transformation from input to hidden layer in RBF is non linear and hidden to output is linear. In most other NN both are non linear. Pros/Cons: * This is a very simple learner * There are many variations of RBF available.",2.0,100.0,,,,,
54,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ",This learning is based on the memory introduced into the dataset. For each data point the nearest neighbours are found via a distance function. for each datapoint d neighbours = getknearestneighboursof(d) d.class = getmostrepresentedclass(neighbours),2.0,100.0,,,,,
55,11,"When learning using steepest descent, explain the role of the learning rate? What is a danger?","Learning rate controls the speed of the convergence. When the learning rate is low, the convergence is overdamped and slow. When the learning rate is high, the convergence is underdamped and follows a zigzagging path. When the learning rate exceeds a critical value learning becomes unstable. ","If learning rate is to large, then proccess will oscillate a lot and might not converge. If learning rate is to small, then convergance will happen very slowly",1.0,50.0,,,,,
56,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ","1. Input layer connecting RBF to environment. 2. Hidden layer: nonolinear tranformation of input space to hidden space 3. Output layer: linear tranformation of hidden space to output space. It is different than other NNs because for learning patterns, it nonlinearly tranforms the input space to higher dimmensional space. Other NNs do not tranform input. As it tranforms input patterns to high dimmensional nonlinear space, patterns which are not separable in lower dimmensions have greater chance to be separated. But if we select basis functions equal to datapoints, problem is ill-formulated. Processing is computationallly heavy. Regualation becomes problem specific. Hence, unsupervied learning is employed to clusters data initially.",1.0,50.0,,,,,
57,5,Write down the SOM learning in pseudo code.,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space.",- Find the winning neuron - Find the neighbors of the winning neuron.,0.0,0.0,,,,,
