id,question,reference_answer,provided_answer,answer_feedback,verification_feedback,score
9c3e27e7efda498fba5ded89c2a76204,"In the lecture you have learned about congestion control with TCP. Name the 2 phases of congestion control and explain how the Congestion Window (cwnd) and the Slow Start Threshold (ss_thresh) change in each phase (after initialization, where cwnd = 1 and ss_thresh = advertised window size) in 1-4 sentences total.","Slow start: ss_thresh is constant, increment cwnd by one every time a segment is acknowledged until ss_tresh is reached, then slowed increase of cwnd Congestion Avoidance: cwnd is reset to 1 after adjusting ss_tresh = cwnd / 2","The first phase is slow start, were the sender begins to send few data and increases cwnd exponentially over time. If there is a timout (congestion) the ss_thresh is set to cwnd/2 and cwnd is set to 1. After that slow start is entered again. When the sender now reaches the limit of sending ss_thresh the second phase congestion avoidance is entered and he increases cwnd only linear until he is finished or a timout occurs and slow start is entered again.",The response is correct.,Correct,1.0
2041c577580d4b528d220aec79b1edf0,"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension.","Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel.
Advantage :it is more efficient than carrier extension as single frames not filled up with garbage.
Disadvantage :need frames waiting for transmission or buffering and delay of frames","- Definition: We don't send a packet immediately, but wait for many packets, put them all in a queue. Then send them all ( all packet in the queue) in a single transmission. So, we have not only one but multiple frames in this single transmission.

-Advantage: It will increase the efficiency, good for Data Transfer. 
Explain:
+ If we send each frame individually, each frame must be attached with some additional field(like checksum...), these fields are not data. The receiver will throw them away anyway.
 + If we can reduce these fields as much as we can, we can increase the efficiency. And the ""frame bursting "" is the idea. Instead of inserting additional fields for every packet, we gather multiple packets together, and insert the additional fields into this single burst.

-Disadvantage: Very high delay. It's a very bad choice for interactive applications which requires low latency. 
Explain:
+ But for ""frame bursting"", we can not response immediately, since we have to wait until we accumulate all the frames into a single burst.","The response correctly explains the concept of frame bursting, its advantages and disadvantages.",Correct,1.0
c891bf085cfb4d0ea1483a5242026d54,Name the 3 service classes the Data Link Layer offers and explain the differences between the classes.,"1.unconfirmed connectionless - no ACK, loss of data possible, no flow control, no connect or disconnect.
2.confirmed connectionless - with ACK, no loss of data (timeout and retransmit instead→ duplicates and sequence errors possible), no flow control, no connect or disconnect.
3.connection-oriented - no data loss, duplication or sequencing errors. Instead a 3 phased communication with connect and disconnect, and flow control","1. Unconfirmed Conn.less Service: Sending of data without any form of acknowledgement. Loss of data is possible.
2. Confirmed Conn.less Service: Each frame that is being send is being acknowledged individually. No loss of data. Dupliactes can happen due to retransmission.
3. Connection-Oriented Service: 3-phased communication with Connection-phase, Data transfer-phase and Disconnection-phase. No loss of data and no duplication due to Flow control.",The response answers the services' names and differences correctly.,Correct,1.0
5a001928211143679e890d13a1476704,Assume you have a local network with 3 users that are all interconnected and have perfect clocks. Typically the network is often congested as all users generate more traffic than the link’s capacities. Which of the encoding techniques introduced in the lecture should be used in this network to encode bitstreams? Give two reasons for your answer in 2-4 sentences.,"Binary Encoding, as it is the most efficient in terms of bandwidth since you get a full bit per baud instead of only 0.5. Additionally, you do not have to deal with clock drift and various ticking rates as all clocks are perfect. Therefore, self-clocking / clock recovery is not as necessary. Simple and cheap is also acceptable as one of the reasons.","Binary Encoding should be used. The main reason against the two Manchester Encoding variants is the relatively low baud rate of just 0.5, whereas binary encoding achieves a Baud rate of 1. With the network being very congested maximizing throughput should be paramount.
Binary encoding suffers when there are issues with synchronization (clocking), however with all participants having a perfect clock this is not an issue here.",Correct,Correct,2.5
7daa2a07219e4da49bb5b42381465432,WHICH PROPERTY of spanning trees makes them appealing for broad- and multicasting? EXPLAIN how you can modify Link State Routing to construct a spanning tree for multicasting.,"Property: There is a single unique path between every pair of nodes in the tree. Alternatively, you can say that spanning trees are subnets of a network that do not contain loops but contain all nodes. This means that no unnecessary duplicates are distributed in the network when forwarding packets using that tree structure.

Spanning Tree with Link State Routing: Each intermediate system knows which multicast groups it belongs to, but initially doesn’t know which other IS belong to the groups. Therefore, you can add multicast group information to the link state packet and each node can construct multicast trees once the full network topology and group information are distributed in the whole network, as each node then has the complete state information stored locally (e.g. with Prim or Kruskal)","1. Spanning tree is a subset of subnets including all routers with no loops. Therefore no duplicates can be generated while broad- and multicasting. 2. You can expand the link state packets by information on multicast groups. Then all link state packets have to be broadcasted to all the other. Afterwards, each IS calculates a multicast tree and based on the information about the multicast tree the IS determines the outgoing lines and transmit the package.",The response correctly identifies the spanning-tree property that makes it appealing for broadcast and multicast and how the link-state algorithm is modified to construct a  multicast spanning tree.,Correct,1.0
95e135d489ad40368544b20bb81352ed,"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension.","Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel.
Advantage :it is more efficient than carrier extension as single frames not filled up with garbage.
Disadvantage :need frames waiting for transmission or buffering and delay of frames","Frame bursting is a shared broadcast mode, in which a sender is allowed to tramsmit concatenated sequence of multiple frames in single transmission.

Advantage: Frame bursting has better efficiency than carrier extension.

Disadvantage: Frame bursting needs frames waiting for transmission.",The response answers all parts of the question correctly.,Correct,1.0
4bef9ebb66324ccfa323a8c156f4761b,Assume you have a local network with 3 users that are all interconnected and have perfect clocks. Typically the network is often congested as all users generate more traffic than the link’s capacities. Which of the encoding techniques introduced in the lecture should be used in this network to encode bitstreams? Give two reasons for your answer in 2-4 sentences.,"Binary Encoding, as it is the most efficient in terms of bandwidth since you get a full bit per baud instead of only 0.5. Additionally, you do not have to deal with clock drift and various ticking rates as all clocks are perfect. Therefore, self-clocking / clock recovery is not as necessary. Simple and cheap is also acceptable as one of the reasons.","Binary Encoding. When every user has a perfect clock, there is no need to transmit an additional clocking signal. This way the complete bandwith can be used to transmit data.",Correct.,Correct,2.5
a6627425496842238f0ea92141c6a35e,"Let us assume that you flip a coin 6 times where the probability of heads (H) showing up is 0.6. Please arrange the following events in the increasing order of their likelihood (i.e., least probable → most probable): ● Event A: you see at least three H’s ● Event B: you see the sequence HHHTTT ● Event C: you see exactly three H’s Include justification in your answer headers.","The correct sequence is BCA , where B is the least probable. One of the following justifications should be given:
		● Event B is a subset/part/special case of C, and C is a subset/part/special case of A
		● Event B is more specific/strict than C and C is more specific/strict than A
		● An actual, correct calculation of the probabilities:
		○ P(B) = 0.6 * 0.6 * 0.6 * 0.4 * 0.4 *0.4 = 0.6^3 *0.4^3 = 0.013824 
		○ P(C) = (6 choose 3) * P(B) = 0.27648 
		○ P(A) = P(C) + P(Y=4) + P(Y=5) + P(Y=6) = 1 - P(Y=0) - P(Y=1) - P(Y=2)
		= (6 choose 3) * 0.6^3 * 0.4^3 + (6 choose 4) * 0.6^4 * 0.4^2 +(6 choose 5) *
		0.6^5 * 0.4 + (6 choose 6) * 0.6^6
		= 0.27648 + 15 * 0.020736 + 6 * 0.031104 + 1 * 0.046656
		= 0.8208 
		○ The answer may be rounded to up to 2 decimal places, e.g. P(B) = 0.01 or
		P(B) = 0.014
		○ It is also sufficient to give a formula without the actual calculation, if it is apparent that P(B) less than P(C) less than P(A), e.g. by stating P(C) = 20 * P(B)","For six flips there is only one combination out of all possible results of H and T, so that the sequence
HHHTTT occurs. That's why B is the least probable event.
Since there are more possible combinations of H and T for A or C, those events are more probable
than B. But since the combinations for seeing exactly three H's are more limited than for seeing at
least three H's, C is a lot less probable than A.
Since P[H] = 0.6, we get the probability of tails showing up with 

P[T] = 1 - P[H] = 0.4

So for event B, we get

P[HHHTTT] = 0.6^3 * 0.4^3 = 0.013824

For event C, the number of times of heads showing up follows a binomial distribution, so therefore we get with Y being the number of times
H is showing up with N = 6 total flips and k = 3 the number of times H showing up being examined:

P[Y=3] = 6!/(3!*(6-3)!) * 0.6^3 * 0.4^(6-3) = 0.27648

For event A, we have the same binomial distribution, but since we also accept H showing up more than 3 times, we add up the probabilities:

P[Y>=3] = P[Y=3] + P[Y=4] + P[Y=5] + P[Y=6] = 6!/(3!*3!)*0.6^3*(0.4)^3 + 6!/(4!*2!)*0.6^4*(0.4)^2 + 6!/(5!*1!)*0.6^5*(0.4)^1 + 0.6^6 = 0.8208

Therefore, we get the likelihoods of the events in increasing order: B, C, A",The response correctly answers the order of the events with appropriate justification.,Correct,1.0
9c17e2db1f2a43ccbef3f2815abddb1a,"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension.","Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel.
Advantage :it is more efficient than carrier extension as single frames not filled up with garbage.
Disadvantage :need frames waiting for transmission or buffering and delay of frames","Frame bursting buffers multiple packets. It concatenates a set of packets and send them together in one single transmission.
Advantage: efficient, because all transmitted data is relevant and (aside from waiting for enough packets to send) can be sent in a faster network, without decreasing the maximal distance between stations.
Disadvantage: Delay --> Sender has to wait until he has x-amount of packets to send, before sending them. Maybe he has only one frame to send for a long period but cannot send it. (Bad for interactive service)",The response answers all three parts of the question correctly.,Correct,1.0
4ee6b4a5e22f40de9d8a145f7eeaefde,Assume you have a local network with 3 users that are all interconnected and have perfect clocks. Typically the network is often congested as all users generate more traffic than the link’s capacities. Which of the encoding techniques introduced in the lecture should be used in this network to encode bitstreams? Give two reasons for your answer in 2-4 sentences.,"Binary Encoding, as it is the most efficient in terms of bandwidth since you get a full bit per baud instead of only 0.5. Additionally, you do not have to deal with clock drift and various ticking rates as all clocks are perfect. Therefore, self-clocking / clock recovery is not as necessary. Simple and cheap is also acceptable as one of the reasons.",For this network the Binary encoding should be used because all 3 users already have perfect clocks. Furthermore the Binary encoding is simple and cheap. The best thing is that it has a good utilization of the bandwidth. That's important because they have problems with the congestion.,Correct.,Correct,2.5
1b5564accb1545baad7d4aeef65daa1e,Name the 3 service classes the Data Link Layer offers and explain the differences between the classes.,"1.unconfirmed connectionless - no ACK, loss of data possible, no flow control, no connect or disconnect.
2.confirmed connectionless - with ACK, no loss of data (timeout and retransmit instead→ duplicates and sequence errors possible), no flow control, no connect or disconnect.
3.connection-oriented - no data loss, duplication or sequencing errors. Instead a 3 phased communication with connect and disconnect, and flow control","1.Confirmed Conn.less Service: Receipt of data Units acknowledged.
2.Unconfirmed Conn.less Service:Transmission of isolated , Independent Units.
3.Connection-Oriented Service: Connection over error free Channel.",The response is partially correct because there is no common theme of the differences between the three services.,Partially correct,0.75
0476d6dbf0904739ae2d8bc5012d54d3,"Consider the following network topology from the lecture:With routing, we want to find the best path for our packets. For this, we first need to define a metric to evaluate the quality of a path. One possible choice could be the current load (i.e. the current utilization in terms of sent packets/bytes) on this path. Assume that A wants to send data to G, could this routing strategy cause any problems at the receiver end? Please explain your answer in 1-2 sentences.","Yes, using the current load to find the best path can lead to fluctuations/oscillations when there is more than one path between any pair of end systems in the network (here: CF and EI). This can cause packet reorderings at the receiving side.","This routing strategy may causes inconsistency because if current load changes frequently, then the metric will also changes freqently.",But why is inconsistency a problem?,Partially correct,0.75
b41f909395fd4cb9b5506fa040cd6fca,"A company is planning to set up a new LAN at one of their locations and is looking for an appropriate medium access procedure. However, the funding is tight so they expect the channel load to be high compared to the hardware they can provide. Currently, they would like to have 20 systems sharing the channel, but it should be expandable later on. Which of the MAC procedures introduced in the lecture (Polling, TDMA with or without Reservation, Token Ring, Pure or Slotted ALOHA, 1-persistent CSMA, p-persistent CSMA, non-persistent CSMA or CSMA/CD) would you recommend?Give 2 reasons for your decision and 1 potential weakness of your recommendation in 2-6 sentences.","0.5 P for a sensible choice out of: Token Ring, p-persistent or non-persistent CSMA, CSMA/CD or TDMA with reservation 1P for the drawback and 1P for an advantage.The following properties may be considered: Scalability, waiting time, extendability, cost effectiveness, constraints, hardware requirements, compatibility, throughput, overhead, complexity and prioritization capabilities","In my opinion I would recommend a Token Ring, as it provides the possibility of high utilization as it is expected by the company. It shouldn't matter if the amount of systems would increase, it would even allow to set priorities in sending data which would likely support the work as more devices mean more data to handle. But building one would be expensive in comparison to other structures and it is to be planned with delays during sending due to need to wait for tokens.",Correct,Correct,3.5
2d6eb3d65882484aaf434438ef6a3207,WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?,"Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.

Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now.
Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).","The two are techniques to perform broadcast or multicast without sending packets in circles. 

In principles, both look at the IS entry port of incoming packet: Does it came from the entry which part of the best route, if the router wants to send himself a message to the source? If the answer is no, the router will drop the paket.

If the answer is yes, RPF and RPB differ: RPF send the packet to all the other egdes while RPB selects only the edge at which the packets arrived and from which they are then rerouted to the source.",The response is partially correct because it explains both RPF and RPB but the incoming and outgoing packet references are unclear.,Partially correct,0.8
6dbb2f2b6575422eabaef0801b5ec812,What are extension headers in IPv6 and where are they located in a packet? What is the main advantage of extension headers compared to IPv4?,"Extension headers are used to extend the fixed IPv6 header with additional, optional network layer information. If present, they are located between the fixed header/main header and payload/upper-layer header/ transport-layer header.

Main advantage: One of the following advantages are considered fully correct:
1. It allows the appending of new options without changing the header.
2. IPv6 packets with optional headers are typically processed faster/simpler by intermediate devices as most of the options are ignored (except “Hop-by-Hop Extension”) while they are processed by all routers in IPv4 unless ordered otherwise.","Extension headers are placed between the header and the payload and make space for options wich are not needed all the time and therefore have no place in the fixed header.
The main advantage is that they are optional and can be appended as much as needed.",The advantage part in the response is partially correct because extension headers are optional but it's more a part of description/feature instead of an advantage.,Partially correct,0.75
e39b0ed2921f450199334027da05835f,"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension.","Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel.
Advantage :it is more efficient than carrier extension as single frames not filled up with garbage.
Disadvantage :need frames waiting for transmission or buffering and delay of frames","Frame bursting describes the procedure of transmitting a concatenated sequence of multiple frames in one transmission. 
Advantage: Little bandwith is wasted. 
Disadvantage: Delay occurs.",The response correctly answers all three parts of the question.,Correct,1.0
b2ea9ebc9144435e9f8984360798c0a6,Assume you have a local network with 3 users that are all interconnected and have perfect clocks. Typically the network is often congested as all users generate more traffic than the link’s capacities. Which of the encoding techniques introduced in the lecture should be used in this network to encode bitstreams? Give two reasons for your answer in 2-4 sentences.,"Binary Encoding, as it is the most efficient in terms of bandwidth since you get a full bit per baud instead of only 0.5. Additionally, you do not have to deal with clock drift and various ticking rates as all clocks are perfect. Therefore, self-clocking / clock recovery is not as necessary. Simple and cheap is also acceptable as one of the reasons.","I would suggest binary encoding. First, binary encoding makes good use of bandwidth (1 bit per Baud), which is important because the users generate more traffic than there is capacity for. Therefore, in this case binary coding is preferable to the other two (Manchester Encoding and Differential Manchester Encoding), which are both only have 0.5bit/baud. Second, although binary encoding has no self-clocking feature, this problem is solved by the fact that all users have perfect clocks. This central clock makes it easy to identify when the signal starts and when it stops.",Correct.,Correct,2.5
c9aae2522dc04f5aa746b954870ffc5d,"A company is planning to set up a new LAN at one of their locations and is looking for an appropriate medium access procedure. However, the funding is tight so they expect the channel load to be high compared to the hardware they can provide. Currently, they would like to have 20 systems sharing the channel, but it should be expandable later on. Which of the MAC procedures introduced in the lecture (Polling, TDMA with or without Reservation, Token Ring, Pure or Slotted ALOHA, 1-persistent CSMA, p-persistent CSMA, non-persistent CSMA or CSMA/CD) would you recommend?Give 2 reasons for your decision and 1 potential weakness of your recommendation in 2-6 sentences.","0.5 P for a sensible choice out of: Token Ring, p-persistent or non-persistent CSMA, CSMA/CD or TDMA with reservation 1P for the drawback and 1P for an advantage.The following properties may be considered: Scalability, waiting time, extendability, cost effectiveness, constraints, hardware requirements, compatibility, throughput, overhead, complexity and prioritization capabilities","In this case I would recommend to use p-persistent CSMA with active Collision Detection feature. Compared to a token ring technology, CSMA is comperativeley cheap and easy scalable. A disadvantage may be the lower throughput caused by possible collisons compared to token ring, but for this CSMA provides better (lower) latency. With the collision detection the bandwith usage can be increased by quick collison recognition. P-persistent CSMA is defined by the p parameter, so it can also be adjusted to the specific needs and size of the company. Furthermore this technology provides a good compromise between throughput and delay (latency) which may both important parameters to look at for the company.",Correct,Correct,3.5
1bf9183388c14578a7e4bd95596271f8,WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?,"Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.

Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now.
Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).","PURPOSE: avoid flood duplicates and ensure loop-free forwarding. HOW THEY WORK: When a multicast packeting enters a router's interface,  it looks up the source of the multicast packet in its unicast routing table to see if the outgoing interface associated with that source IP address is the interface on which that packet arrived. If matched, the router duplicate the packet and forward it, if fails, the packet will be discarded.",The response is partially correct because it's unclear whether the stated description is referring to the RPF or RPB algorithm.,Partially correct,0.2
